ID;RegioS;Perioden;GemiddeldeVerkoopprijs_1
443;PV30  ;2018JJ00;290569
444;PV30  ;2019JJ00;310254
445;PV30  ;2020JJ00;337960
446;PV30  ;2021JJ00;385036
447;PV30  ;2022JJ00;426539
448;PV31  ;1995JJ00;94311
449;PV31  ;1996JJ00;103070
450;PV31  ;1997JJ00;113429
451;PV31  ;1998JJ00;122198
452;PV31  ;1999JJ00;139342
453;PV31  ;2000JJ00;157384
454;PV31  ;2001JJ00;164674
455;PV31  ;2002JJ00;174831
456;PV31  ;2003JJ00;178283
457;PV31  ;2004JJ00;182746
458;PV31  ;2005JJ00;191026
459;PV31  ;2006JJ00;201145
460;PV31  ;2007JJ00;206883
461;PV31  ;2008JJ00;208894
462;PV31  ;2009JJ00;197055
463;PV31  ;2010JJ00;195206
464;PV31  ;2011JJ00;198167
465;PV31  ;2012JJ00;189845
466;PV31  ;2013JJ00;179427
467;PV31  ;2014JJ00;186408
468;PV31  ;2015JJ00;191829
469;PV31  ;2016JJ00;199165
470;PV31  ;2017JJ00;212920
471;PV31  ;2018JJ00;229286
472;PV31  ;2019JJ00;243850
473;PV31  ;2020JJ00;263910
474;PV31  ;2021JJ00;300777
475;PV31  ;2022JJ00;330567
476;GM1680;1995JJ00;
477;GM1680;1996JJ00;
478;GM1680;1997JJ00;
479;GM1680;1998JJ00;130136
480;GM1680;1999JJ00;159338
481;GM1680;2000JJ00;182830
482;GM1680;2001JJ00;216452
483;GM1680;2002JJ00;210945
484;GM1680;2003JJ00;205222
485;GM1680;2004JJ00;222208
486;GM1680;2005JJ00;231917
487;GM1680;2006JJ00;244657
488;GM1680;2007JJ00;265383
489;GM1680;2008JJ00;269367
490;GM1680;2009JJ00;227898
491;GM1680;2010JJ00;230392
492;GM1680;2011JJ00;236209
493;GM1680;2012JJ00;219111
494;GM1680;2013JJ00;213176
495;GM1680;2014JJ00;213509
496;GM1680;2015JJ00;241481
497;GM1680;2016JJ00;227275
498;GM1680;2017JJ00;241866
499;GM1680;2018JJ00;258980
500;GM1680;2019JJ00;284794
501;GM1680;2020JJ00;303789
502;GM1680;2021JJ00;393780
503;GM1680;2022JJ00;407982
504;GM0738;1995JJ00;102023
505;GM0738;1996JJ00;115362
506;GM0738;1997JJ00;130831
507;GM0738;1998JJ00;141027
508;GM0738;1999JJ00;171212
509;GM0738;2000JJ00;212336
510;GM0738;2001JJ00;239708
511;GM0738;2002JJ00;231182
512;GM0738;2003JJ00;258579
513;GM0738;2004JJ00;243096
514;GM0738;2005JJ00;281099
515;GM0738;2006JJ00;278193
516;GM0738;2007JJ00;296221
517;GM0738;2008JJ00;286518
518;GM0738;2009JJ00;242576
519;GM0738;2010JJ00;276192
520;GM0738;2011JJ00;266466
521;GM0738;2012JJ00;250662
522;GM0738;2013JJ00;229378
523;GM0738;2014JJ00;229823
524;GM0738;2015JJ00;230525
525;GM0738;2016JJ00;248188
526;GM0738;2017JJ00;279988
527;GM0738;2018JJ00;284120
528;GM0738;2019JJ00;
529;GM0738;2020JJ00;
530;GM0738;2021JJ00;
531;GM0738;2022JJ00;
532;GM0358;1995JJ00;115081
533;GM0358;1996JJ00;126116
534;GM0358;1997JJ00;136515
535;GM0358;1998JJ00;150441
536;GM0358;1999JJ00;201630
537;GM0358;2000JJ00;213742
538;GM0358;2001JJ00;251666
539;GM0358;2002JJ00;257608
540;GM0358;2003JJ00;282494
541;GM0358;2004JJ00;261497
542;GM0358;2005JJ00;286247
543;GM0358;2006JJ00;306764
544;GM0358;2007JJ00;330582
545;GM0358;2008JJ00;304057
546;GM0358;2009JJ00;302299
547;GM0358;2010JJ00;305355
548;GM0358;2011JJ00;314737
549;GM0358;2012JJ00;265452
550;GM0358;2013JJ00;288004
551;GM0358;2014JJ00;271638
552;GM0358;2015JJ00;277057
553;GM0358;2016JJ00;332572
554;GM0358;2017JJ00;375983
555;GM0358;2018JJ00;406960
556;GM0358;2019JJ00;409304
557;GM0358;2020JJ00;438060
558;GM0358;2021JJ00;538786
559;GM0358;2022JJ00;570707
560;GM0197;1995JJ00;90191
561;GM0197;1996JJ00;105185
562;GM0197;1997JJ00;96758
563;GM0197;1998JJ00;119551
564;GM0197;1999JJ00;114640
565;GM0197;2000JJ00;153334
566;GM0197;2001JJ00;147145
567;GM0197;2002JJ00;169135
568;GM0197;2003JJ00;167115
569;GM0197;2004JJ00;172198
570;GM0197;2005JJ00;187662
571;GM0197;2006JJ00;193997
572;GM0197;2007JJ00;200628
573;GM0197;2008JJ00;193222
574;GM0197;2009JJ00;193284
575;GM0197;2010JJ00;187353
576;GM0197;2011JJ00;189290
577;GM0197;2012JJ00;176637
578;GM0197;2013JJ00;159498
579;GM0197;2014JJ00;175272
580;GM0197;2015JJ00;168032
581;GM0197;2016JJ00;192007
582;GM0197;2017JJ00;206497
583;GM0197;2018JJ00;210100
584;GM0197;2019JJ00;226080
585;GM0197;2020JJ00;261776
586;GM0197;2021JJ00;306386
587;GM0197;2022JJ00;319641
588;GM0480;1995JJ00;128579
589;GM0480;1996JJ00;128587
590;GM0480;1997JJ00;155740
591;GM0480;1998JJ00;159988
592;GM0480;1999JJ00;219249
593;GM0480;2000JJ00;251576
594;GM0480;2001JJ00;266440
595;GM0480;2002JJ00;258324
596;GM0480;2003JJ00;239611
597;GM0480;2004JJ00;262765
598;GM0480;2005JJ00;254626
599;GM0480;2006JJ00;264752
600;GM0480;2007JJ00;
601;GM0480;2008JJ00;
602;GM0480;2009JJ00;
603;GM0480;2010JJ00;
604;GM0480;2011JJ00;
605;GM0480;2012JJ00;
606;GM0480;2013JJ00;
607;GM0480;2014JJ00;
608;GM0480;2015JJ00;
609;GM0480;2016JJ00;
610;GM0480;2017JJ00;
611;GM0480;2018JJ00;
612;GM0480;2019JJ00;
613;GM0480;2020JJ00;
614;GM0480;2021JJ00;
615;GM0480;2022JJ00;
616;GM0739;1995JJ00;118892
617;GM0739;1996JJ00;110107
618;GM0739;1997JJ00;
619;GM0739;1998JJ00;
620;GM0739;1999JJ00;
621;GM0739;2000JJ00;
622;GM0739;2001JJ00;
623;GM0739;2002JJ00;
624;GM0739;2003JJ00;
625;GM0739;2004JJ00;
626;GM0739;2005JJ00;
627;GM0739;2006JJ00;
628;GM0739;2007JJ00;
629;GM0739;2008JJ00;
630;GM0739;2009JJ00;
631;GM0739;2010JJ00;
632;GM0739;2011JJ00;
633;GM0739;2012JJ00;
634;GM0739;2013JJ00;
635;GM0739;2014JJ00;
636;GM0739;2015JJ00;
637;GM0739;2016JJ00;
638;GM0739;2017JJ00;
639;GM0739;2018JJ00;
640;GM0739;2019JJ00;
641;GM0739;2020JJ00;
642;GM0739;2021JJ00;
643;GM0739;2022JJ00;
644;GM0305;1995JJ00;174475
645;GM0305;1996JJ00;161604
646;GM0305;1997JJ00;205076
647;GM0305;1998JJ00;202595
648;GM0305;1999JJ00;284734
649;GM0305;2000JJ00;348015
650;GM0305;2001JJ00;370588
651;GM0305;2002JJ00;399958
652;GM0305;2003JJ00;351704
653;GM0305;2004JJ00;366841
654;GM0305;2005JJ00;424482
655;GM0305;2006JJ00;449208
656;GM0305;2007JJ00;518993
657;GM0305;2008JJ00;520749
658;GM0305;2009JJ00;454085
659;GM0305;2010JJ00;483105
660;GM0305;2011JJ00;
661;GM0305;2012JJ00;
662;GM0305;2013JJ00;
663;GM0305;2014JJ00;
664;GM0305;2015JJ00;
665;GM0305;2016JJ00;
666;GM0305;2017JJ00;
667;GM0305;2018JJ00;
668;GM0305;2019JJ00;
669;GM0305;2020JJ00;
670;GM0305;2021JJ00;
671;GM0305;2022JJ00;
672;GM0059;1995JJ00;61727
673;GM0059;1996JJ00;73472
674;GM0059;1997JJ00;80563
675;GM0059;1998JJ00;95810
676;GM0059;1999JJ00;109922
677;GM0059;2000JJ00;133915
678;GM0059;2001JJ00;153585
679;GM0059;2002JJ00;153570
680;GM0059;2003JJ00;159611
681;GM0059;2004JJ00;176705
682;GM0059;2005JJ00;182002
683;GM0059;2006JJ00;201098
684;GM0059;2007JJ00;199191
685;GM0059;2008JJ00;214001
686;GM0059;2009JJ00;183043
687;GM0059;2010JJ00;188733
688;GM0059;2011JJ00;188124
689;GM0059;2012JJ00;178073
690;GM0059;2013JJ00;152525
691;GM0059;2014JJ00;155891
692;GM0059;2015JJ00;174264
693;GM0059;2016JJ00;179055
694;GM0059;2017JJ00;184383
695;GM0059;2018JJ00;211426
696;GM0059;2019JJ00;216483
697;GM0059;2020JJ00;241065
698;GM0059;2021JJ00;295024
699;GM0059;2022JJ00;305540
700;GM0360;1995JJ00;125204
701;GM0360;1996JJ00;131277
702;GM0360;1997JJ00;137146
703;GM0360;1998JJ00;146720
704;GM0360;1999JJ00;171308
705;GM0360;2000JJ00;219702
706;GM0360;2001JJ00;273854
707;GM0360;2002JJ00;
