ID;RegioS;Perioden;GemiddeldeVerkoopprijs_1
316;PV26  ;2003JJ00;237360
317;PV26  ;2004JJ00;247971
318;PV26  ;2005JJ00;257807
319;PV26  ;2006JJ00;272931
320;PV26  ;2007JJ00;290511
321;PV26  ;2008JJ00;301065
322;PV26  ;2009JJ00;280228
323;PV26  ;2010JJ00;283922
324;PV26  ;2011JJ00;282944
325;PV26  ;2012JJ00;267112
326;PV26  ;2013JJ00;249506
327;PV26  ;2014JJ00;256282
328;PV26  ;2015JJ00;264382
329;PV26  ;2016JJ00;282981
330;PV26  ;2017JJ00;316244
331;PV26  ;2018JJ00;349404
332;PV26  ;2019JJ00;371727
333;PV26  ;2020JJ00;404811
334;PV26  ;2021JJ00;460992
335;PV26  ;2022JJ00;510098
336;PV27  ;1995JJ00;101308
337;PV27  ;1996JJ00;110897
338;PV27  ;1997JJ00;122776
339;PV27  ;1998JJ00;141255
340;PV27  ;1999JJ00;168100
341;PV27  ;2000JJ00;203428
342;PV27  ;2001JJ00;220723
343;PV27  ;2002JJ00;230964
344;PV27  ;2003JJ00;229682
345;PV27  ;2004JJ00;236614
346;PV27  ;2005JJ00;247406
347;PV27  ;2006JJ00;263306
348;PV27  ;2007JJ00;285839
349;PV27  ;2008JJ00;295730
350;PV27  ;2009JJ00;273913
351;PV27  ;2010JJ00;275914
352;PV27  ;2011JJ00;279072
353;PV27  ;2012JJ00;258872
354;PV27  ;2013JJ00;243147
355;PV27  ;2014JJ00;257128
356;PV27  ;2015JJ00;273911
357;PV27  ;2016JJ00;301899
358;PV27  ;2017JJ00;333082
359;PV27  ;2018JJ00;373688
360;PV27  ;2019JJ00;396601
361;PV27  ;2020JJ00;424553
362;PV27  ;2021JJ00;490225
363;PV27  ;2022JJ00;536786
364;PV28  ;1995JJ00;90469
365;PV28  ;1996JJ00;100002
366;PV28  ;1997JJ00;109367
367;PV28  ;1998JJ00;117790
368;PV28  ;1999JJ00;135551
369;PV28  ;2000JJ00;159392
370;PV28  ;2001JJ00;175719
371;PV28  ;2002JJ00;187461
372;PV28  ;2003JJ00;194716
373;PV28  ;2004JJ00;201760
374;PV28  ;2005JJ00;213568
375;PV28  ;2006JJ00;225806
376;PV28  ;2007JJ00;235504
377;PV28  ;2008JJ00;242050
378;PV28  ;2009JJ00;227133
379;PV28  ;2010JJ00;230543
380;PV28  ;2011JJ00;232987
381;PV28  ;2012JJ00;219399
382;PV28  ;2013JJ00;211626
383;PV28  ;2014JJ00;217573
384;PV28  ;2015JJ00;221441
385;PV28  ;2016JJ00;232144
386;PV28  ;2017JJ00;254146
387;PV28  ;2018JJ00;280460
388;PV28  ;2019JJ00;305261
389;PV28  ;2020JJ00;333763
390;PV28  ;2021JJ00;384214
391;PV28  ;2022JJ00;425469
392;PV29  ;1995JJ00;75095
393;PV29  ;1996JJ00;80457
394;PV29  ;1997JJ00;86653
395;PV29  ;1998JJ00;92769
396;PV29  ;1999JJ00;103545
397;PV29  ;2000JJ00;118726
398;PV29  ;2001JJ00;135287
399;PV29  ;2002JJ00;151333
400;PV29  ;2003JJ00;167227
401;PV29  ;2004JJ00;176675
402;PV29  ;2005JJ00;189534
403;PV29  ;2006JJ00;199519
404;PV29  ;2007JJ00;203238
405;PV29  ;2008JJ00;206965
406;PV29  ;2009JJ00;196518
407;PV29  ;2010JJ00;197788
408;PV29  ;2011JJ00;197952
409;PV29  ;2012JJ00;188728
410;PV29  ;2013JJ00;183907
411;PV29  ;2014JJ00;186748
412;PV29  ;2015JJ00;193489
413;PV29  ;2016JJ00;202262
414;PV29  ;2017JJ00;213611
415;PV29  ;2018JJ00;220889
416;PV29  ;2019JJ00;242998
417;PV29  ;2020JJ00;259014
418;PV29  ;2021JJ00;294022
419;PV29  ;2022JJ00;326521
420;PV30  ;1995JJ00;100121
421;PV30  ;1996JJ00;111137
422;PV30  ;1997JJ00;123208
423;PV30  ;1998JJ00;135731
424;PV30  ;1999JJ00;156914
425;PV30  ;2000JJ00;185790
426;PV30  ;2001JJ00;208137
427;PV30  ;2002JJ00;222348
428;PV30  ;2003JJ00;228582
429;PV30  ;2004JJ00;234885
430;PV30  ;2005JJ00;244063
431;PV30  ;2006JJ00;258691
432;PV30  ;2007JJ00;271394
433;PV30  ;2008JJ00;277906
434;PV30  ;2009JJ00;258962
435;PV30  ;2010JJ00;254941
436;PV30  ;2011JJ00;252551
437;PV30  ;2012JJ00;240127
438;PV30  ;2013JJ00;221039
439;PV30  ;2014JJ00;228412
440;PV30  ;2015JJ00;235669
441;PV30  ;2016JJ00;248763
442;PV30  ;2017JJ00;268514
443;PV30  ;2018JJ00;290569
444;PV30  ;2019JJ00;310254
445;PV30  ;2020JJ00;337960
446;PV30  ;2021JJ00;385036
447;PV30  ;2022JJ00;426539
448;PV31  ;1995JJ00;94311
449;PV31  ;1996JJ00;103070
450;PV31  ;1997JJ00;113429
451;PV31  ;1998JJ00;122198
452;PV31  ;1999JJ00;139342
453;PV31  ;2000JJ00;157384
454;PV31  ;2001JJ00;164674
455;PV31  ;2002JJ00;174831
456;PV31  ;2003JJ00;178283
457;PV31  ;2004JJ00;182746
458;PV31  ;2005JJ00;191026
459;PV31  ;2006JJ00;201145
460;PV31  ;2007JJ00;206883
461;PV31  ;2008JJ00;208894
462;PV31  ;2009JJ00;197055
463;PV31  ;2010JJ00;195206
464;PV31  ;2011JJ00;198167
465;PV31  ;2012JJ00;189845
466;PV31  ;2013JJ00;179427
467;PV31  ;2014JJ00;186408
468;PV31  ;2015JJ00;191829
469;PV31  ;2016JJ00;199165
470;PV31  ;2017JJ00;212920
471;PV31  ;2018JJ00;229286
472;PV31  ;2019JJ00;243850
473;PV31  ;2020JJ00;263910
474;PV31  ;2021JJ00;300777
475;PV31  ;2022JJ00;330567
